Manufacturer,Vestas
Model,V90
Capacity,2000
Usage,Onshore
HubHeight,"80,95,105"
RotorDiameter,90
Source,https://en.wind-turbine-models.com/turbines/16-vestas-v-90#datasheet
Power curve,
windspeed(m/s),power(kW)
2.5,0
3,0
3.5,42.2
4,93.3
4.5,145.2
5,211.3
5.5,284.2
6,390.9
6.5,491.5
7,601.1
7.5,731.8
8,884.5
8.5,1087.6
9,1247.1
9.5,1429.6
10,1594.3
10.5,1742.9
11,1861.2
11.5,1948.1
12,1993.3
12.5,2003.5
13,2007
13.5,2007.7
14,2007.3
14.5,2007.4
15,2007.7
15.5,2006.8
16,2006.7
16.5,2005.5
