Manufacturer,Vestas
Model,V90-2000_Vestas
Capacity,2000
Usage,Onshore
HubHeight,"80, 125"
Source,World Wind Farm 2023
RotorDiameter,90.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,10
3.5,20
4.0,46
4.5,110
5.0,170
5.5,240
6.0,355
6.5,460
7.0,580
7.5,732
8.0,884
8.5,1065
9.0,1245
9.5,1428
10.0,1612
10.5,1756
11.0,1900
11.5,1940
12.0,1968
12.5,1980
13.0,1990
13.5,2000
14.0,2000
14.5,2000
15.0,2000
15.5,2000
16.0,2000
16.5,2000
17.0,2000
17.5,2000
18.0,2000
18.5,2000
19.0,2000
19.5,2000
20.0,2000
20.5,2000
21.0,2000
21.5,2000
22.0,2000
22.5,2000
23.0,2000
23.5,2000
24.0,2000
24.5,2000
25.0,2000
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
