Manufacturer,CSIC HZ Windpower
Model,H82-2000_CSIC_HZ_Windpower
Capacity,2000
Usage,Onshore
HubHeight,"70, 80"
Source,World Wind Farm 2023
RotorDiameter,82.4
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,19
4.0,39
4.5,84
5.0,130
5.5,195
6.0,260
6.5,354
7.0,447
7.5,575
8.0,703
8.5,859
9.0,1015
9.5,1181
10.0,1347
10.5,1506
11.0,1665
11.5,1796
12.0,1928
12.5,1975
13.0,2000
13.5,2000
14.0,2000
14.5,2000
15.0,2000
15.5,2000
16.0,2000
16.5,2000
17.0,2000
17.5,2000
18.0,2000
18.5,2000
19.0,2000
19.5,2000
20.0,2000
20.5,2000
21.0,2000
21.5,2000
22.0,2000
22.5,2000
23.0,2000
23.5,2000
24.0,2000
24.5,2000
25.0,2000
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
