Manufacturer,WindFlow
Model,Windflow_33-500_WindFlow
Capacity,500
Usage,Onshore
HubHeight,"29, 31"
Source,World Wind Farm 2023
RotorDiameter,33.2
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,0
5.0,0
5.5,0
6.0,20
6.5,41
7.0,63
7.5,85
8.0,107
8.5,130
9.0,155
9.5,182
10.0,211
10.5,243
11.0,275
11.5,308
12.0,340
12.5,371
13.0,396
13.5,422
14.0,443
14.5,462
15.0,474
15.5,485
16.0,492
16.5,498
17.0,500
17.5,500
18.0,500
18.5,500
19.0,500
19.5,500
20.0,500
20.5,500
21.0,500
21.5,500
22.0,500
22.5,500
23.0,500
23.5,500
24.0,500
24.5,500
25.0,500
25.5,500
26.0,500
26.5,500
27.0,500
27.5,500
28.0,500
28.5,500
29.0,500
29.5,500
30.0,500
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
