Manufacturer,Shanghai Electric
Model,W3600-116_Shanghai_Electric
Capacity,3600
Usage,Onshore
HubHeight,"80, 100"
Source,World Wind Farm 2023
RotorDiameter,116.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,3
3.0,15
3.5,48
4.0,81
4.5,170
5.0,296
5.5,430
6.0,563
6.5,752
7.0,941
7.5,1174
8.0,1430
8.5,1733
9.0,2059
9.5,2400
10.0,2741
10.5,3096
11.0,3452
11.5,3565
12.0,3600
12.5,3600
13.0,3600
13.5,3600
14.0,3600
14.5,3600
15.0,3600
15.5,3600
16.0,3600
16.5,3600
17.0,3600
17.5,3600
18.0,3600
18.5,3600
19.0,3600
19.5,3600
20.0,3600
20.5,3600
21.0,3600
21.5,3600
22.0,3600
22.5,3600
23.0,3600
23.5,3600
24.0,3600
24.5,3600
25.0,3600
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
