Manufacturer,GE Energy
Model,2.5-120_GE_Energy
Capacity,2500
Usage,Onshore
HubHeight,"85, 139"
Source,World Wind Farm 2023
RotorDiameter,120.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,25
3.5,89
4.0,171
4.5,269
5.0,389
5.5,533
6.0,704
6.5,906
7.0,1136
7.5,1400
8.0,1674
8.5,1934
9.0,2160
9.5,2316
10.0,2416
10.5,2477
11.0,2514
11.5,2528
12.0,2530
12.5,2530
13.0,2530
13.5,2530
14.0,2530
14.5,2530
15.0,2530
15.5,2530
16.0,2530
16.5,2530
17.0,2530
17.5,2530
18.0,2530
18.5,2530
19.0,2530
19.5,2530
20.0,2530
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
