Manufacturer,Vestas
Model,V117-3450_Vestas
Capacity,3450
Usage,Onshore
HubHeight,"91.5, 141.5"
Source,World Wind Farm 2023
RotorDiameter,117.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,50
4.5,113
5.0,152
5.5,265
6.0,389
6.5,520
7.0,666
7.5,890
8.0,1118
8.5,1470
9.0,1822
9.5,2240
10.0,2627
10.5,3030
11.0,3294
11.5,3450
12.0,3450
12.5,3450
13.0,3450
13.5,3450
14.0,3450
14.5,3450
15.0,3450
15.5,3450
16.0,3450
16.5,3450
17.0,3450
17.5,3450
18.0,3450
18.5,3450
19.0,3450
19.5,3450
20.0,3450
20.5,3450
21.0,3450
21.5,3450
22.0,3450
22.5,3450
23.0,3450
23.5,3450
24.0,3450
24.5,3450
25.0,3450
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
