Manufacturer,GE Energy
Model,1.5sle_GE_Energy
Capacity,1500
Usage,Onshore
HubHeight,"61.4, 85"
Source,World Wind Farm 2023
RotorDiameter,77.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,4
3.5,20
4.0,48
4.5,89
5.0,130
5.5,194
6.0,257
6.5,338
7.0,418
7.5,535
8.0,652
8.5,795
9.0,938
9.5,1071
10.0,1203
10.5,1277
11.0,1351
11.5,1394
12.0,1437
12.5,1459
13.0,1480
13.5,1488
14.0,1496
14.5,1498
15.0,1500
15.5,1500
16.0,1500
16.5,1500
17.0,1500
17.5,1500
18.0,1500
18.5,1500
19.0,1500
19.5,1500
20.0,1500
20.5,1500
21.0,1500
21.5,1500
22.0,1500
22.5,1500
23.0,1500
23.5,1500
24.0,1500
24.5,1500
25.0,1500
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
