Manufacturer,Vestas
Model,V162-5.6MW_Vestas
Capacity,5600
Usage,Onshore
HubHeight,"119, 169"
Source,World Wind Farm 2023
RotorDiameter,162.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,27
3.5,144
4.0,289
4.5,464
5.0,669
5.5,919
6.0,1220
6.5,1574
7.0,1990
7.5,2467
8.0,3010
8.5,3617
9.0,4257
9.5,4834
10.0,5256
10.5,5482
11.0,5578
11.5,5598
12.0,5600
12.5,5600
13.0,5600
13.5,5600
14.0,5600
14.5,5600
15.0,5600
15.5,5600
16.0,5600
16.5,5600
17.0,5600
17.5,5600
18.0,5600
18.5,5568
19.0,5418
19.5,5179
20.0,4894
20.5,4609
21.0,4329
21.5,4043
22.0,3764
22.5,3488
23.0,3203
23.5,2914
24.0,2616
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
