Manufacturer,Suzlon
Model,S95-2100_Suzlon
Capacity,2100
Usage,Onshore
HubHeight,"80, 100"
Source,World Wind Farm 2023
RotorDiameter,95.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,170
3.0,240
3.5,320
4.0,410
4.5,530
5.0,630
5.5,784
6.0,950
6.5,1130
7.0,1285
7.5,1440
8.0,1585
8.5,1740
9.0,1870
9.5,1990
10.0,2035
10.5,2076
11.0,2090
11.5,2100
12.0,2100
12.5,2100
13.0,2100
13.5,2100
14.0,2100
14.5,2100
15.0,2100
15.5,2100
16.0,2100
16.5,0
17.0,0
17.5,0
18.0,0
18.5,0
19.0,0
19.5,0
20.0,0
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
