Manufacturer,Windmaster
Model,WM22-100_Windmaster
Capacity,100
Usage,Onshore
HubHeight,"23, 23"
Source,World Wind Farm 2023
RotorDiameter,21.8
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,7
5.0,15
5.5,22
6.0,29
6.5,37
7.0,45
7.5,53
8.0,62
8.5,69
9.0,77
9.5,86
10.0,94
10.5,102
11.0,107
11.5,110
12.0,112
12.5,113
13.0,113
13.5,112
14.0,111
14.5,110
15.0,108
15.5,107
16.0,106
16.5,105
17.0,105
17.5,105
18.0,105
18.5,104
19.0,104
19.5,104
20.0,104
20.5,104
21.0,104
21.5,104
22.0,104
22.5,104
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
