Manufacturer,Senvion
Model,MM82-2050_Senvion
Capacity,2050
Usage,Onshore
HubHeight,"58.5, 80"
Source,World Wind Farm 2023
RotorDiameter,82.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,55
4.5,110
5.0,186
5.5,264
6.0,342
6.5,424
7.0,506
7.5,618
8.0,730
8.5,865
9.0,999
9.5,1195
10.0,1391
10.5,1558
11.0,1724
11.5,1829
12.0,1909
12.5,1960
13.0,2002
13.5,2025
14.0,2044
14.5,2050
15.0,2050
15.5,2050
16.0,2050
16.5,2050
17.0,2050
17.5,2050
18.0,2050
18.5,2050
19.0,2050
19.5,2050
20.0,2050
20.5,2050
21.0,2050
21.5,2050
22.0,2050
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
