Manufacturer,Gamesa
Model,G80-2000_Gamesa
Capacity,2000
Usage,Onshore
HubHeight,"60, 100"
Source,World Wind Farm 2023
RotorDiameter,80.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,20
4.0,40
4.5,76
5.0,113
5.5,163
6.0,213
6.5,300
7.0,388
7.5,513
8.0,639
8.5,802
9.0,965
9.5,1133
10.0,1300
10.5,1434
11.0,1568
11.5,1670
12.0,1772
12.5,1843
13.0,1913
13.5,1943
14.0,1973
14.5,1987
15.0,2000
15.5,2000
16.0,2000
16.5,2000
17.0,2000
17.5,2000
18.0,2000
18.5,2000
19.0,2000
19.5,2000
20.0,2000
20.5,2000
21.0,2000
21.5,2000
22.0,2000
22.5,2000
23.0,2000
23.5,2000
24.0,2000
24.5,2000
25.0,2000
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
