Manufacturer,Nordtank
Model,NTK300-31_Nordtank
Capacity,300
Usage,Onshore
HubHeight,"31, 35"
Source,World Wind Farm 2023
RotorDiameter,31.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,0
5.0,0
5.5,12
6.0,24
6.5,44
7.0,65
7.5,95
8.0,125
8.5,149
9.0,174
9.5,196
10.0,218
10.5,235
11.0,253
11.5,271
12.0,288
12.5,300
13.0,311
13.5,320
14.0,329
14.5,333
15.0,336
15.5,336
16.0,336
16.5,335
17.0,334
17.5,331
18.0,328
18.5,323
19.0,319
19.5,316
20.0,313
20.5,310
21.0,307
21.5,306
22.0,305
22.5,305
23.0,305
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
