Manufacturer,Suzlon
Model,S111-2100_Suzlon
Capacity,2100
Usage,Onshore
HubHeight,"90, 140"
Source,World Wind Farm 2023
RotorDiameter,111.8
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,65
4.0,131
4.5,220
5.0,305
5.5,440
6.0,578
6.5,760
7.0,945
7.5,1180
8.0,1393
8.5,1640
9.0,1865
9.5,2030
10.0,2100
10.5,2100
11.0,2100
11.5,2100
12.0,2100
12.5,2100
13.0,2100
13.5,2100
14.0,2100
14.5,2100
15.0,2100
15.5,2100
16.0,2100
16.5,2100
17.0,2100
17.5,2100
18.0,2100
18.5,2100
19.0,2100
19.5,2100
20.0,2100
20.5,2100
21.0,2100
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
