Manufacturer,MHI Vestas Offshore
Model,V164-8000_MHI_Vestas_Offshore
Capacity,8000
Usage,Offshore
HubHeight,"nan, nan"
Source,World Wind Farm 2023
RotorDiameter,164.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,70
4.5,150
5.0,280
5.5,505
6.0,750
6.5,1100
7.0,1450
7.5,1925
8.0,2400
8.5,3090
9.0,3780
9.5,4690
10.0,5600
10.5,6390
11.0,7180
11.5,7600
12.0,7750
12.5,7925
13.0,8000
13.5,8000
14.0,8000
14.5,8000
15.0,8000
15.5,8000
16.0,8000
16.5,8000
17.0,8000
17.5,8000
18.0,8000
18.5,8000
19.0,8000
19.5,8000
20.0,8000
20.5,8000
21.0,8000
21.5,8000
22.0,8000
22.5,8000
23.0,8000
23.5,8000
24.0,8000
24.5,8000
25.0,8000
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
