Manufacturer,Siemens-Gamesa
Model,SG_8.0-167_DD_Siemens-Gamesa
Capacity,8000
Usage,Offshore
HubHeight,"92, 92"
Source,World Wind Farm 2023
RotorDiameter,167.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,48
4.0,169
4.5,350
5.0,593
5.5,930
6.0,1307
6.5,1737
7.0,2186
7.5,2730
8.0,3278
8.5,3980
9.0,4687
9.5,5400
10.0,6112
10.5,6690
11.0,7249
11.5,7570
12.0,7795
12.5,7895
13.0,7947
13.5,7990
14.0,8000
14.5,8000
15.0,8000
15.5,8000
16.0,8000
16.5,8000
17.0,8000
17.5,8000
18.0,8000
18.5,8000
19.0,8000
19.5,8000
20.0,8000
20.5,8000
21.0,8000
21.5,8000
22.0,8000
22.5,8000
23.0,8000
23.5,8000
24.0,8000
24.5,8000
25.0,8000
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
