fitting function: ws_at_perc_capacity = exp( scale* log(specific_capacity) + cost)
perc_capacity,const,scale
0.0,-0.8691217362419719,0.30864428729945903
1.0,-0.5846306874157908,0.298395231937226
2.0,-0.4199402034594731,0.28855482910643393
3.0,-0.39102684258488274,0.29670835655698713
4.0,-0.3894573187489953,0.30694659174340955
5.0,-0.4058020013186425,0.3186606646987472
6.0,-0.40432027949816374,0.3262109237633102
7.0,-0.39236913666698187,0.3309590104414416
8.0,-0.3819249132228733,0.3353076855262877
9.0,-0.36330046354548506,0.3377929657612922
10.0,-0.3435178362137303,0.33963490414680153
11.0,-0.3178321425403834,0.33994744034478136
12.0,-0.29117508148616195,0.3397628567355643
13.0,-0.269508217230584,0.3400709179760609
14.0,-0.2532127879218888,0.34104589967775417
15.0,-0.23716397286478894,0.34182215842728025
16.0,-0.22262634723157404,0.342677119769971
17.0,-0.20608305884473196,0.3430452815466755
18.0,-0.18294597412929683,0.34212097609298914
19.0,-0.1595198473797326,0.3409467860008212
20.0,-0.1370173698072664,0.3397912532745987
21.0,-0.11673980125939647,0.33891784784556933
22.0,-0.10109357095443004,0.33873460341449246
23.0,-0.08657611801800887,0.3386213565615072
24.0,-0.07475367908452243,0.33886827438947414
25.0,-0.0632268060157558,0.3390797757839704
26.0,-0.05125428172949209,0.3391432173371577
27.0,-0.039703953493727594,0.33922232252559076
28.0,-0.028335883786178517,0.33926121476773186
29.0,-0.01558658032251571,0.33900163826510576
30.0,-0.0023729354603777156,0.33859625081614964
31.0,0.012792316480288236,0.33780110674821306
32.0,0.034139993622620955,0.33589696154420867
33.0,0.054711366860818865,0.33409700749274673
34.0,0.07301254668013582,0.33264489345560033
35.0,0.0898846001854323,0.33139670650839426
36.0,0.10482533277884826,0.3304333161479266
37.0,0.1150798118926572,0.33022289054218695
38.0,0.11964163861256258,0.33093232690690216
39.0,0.1242663158085397,0.3315942385260518
40.0,0.1294060065593988,0.33213539920570395
41.0,0.1352503099574173,0.3325279563119545
42.0,0.14152170196334551,0.3328180841186797
43.0,0.14683148290674713,0.33324903030112274
44.0,0.15136974087405913,0.3337880560119182
45.0,0.15579167325105514,0.3343176761761118
46.0,0.16027451616989363,0.33481440494506853
47.0,0.16455629622664028,0.33532147113139826
48.0,0.16836020011407535,0.3358949127330813
49.0,0.17250900734008895,0.3363941497376186
50.0,0.1765350074146051,0.3369001413399903
51.0,0.18057485786938174,0.3373854094451347
52.0,0.18426444139957254,0.33791086689131156
53.0,0.1885531927827845,0.33830763653262885
54.0,0.19215673631235866,0.3388061917885345
55.0,0.19482283957199606,0.33945446631863424
56.0,0.19705093291250078,0.3401692545183817
57.0,0.19823204136166156,0.3410558652808998
58.0,0.1986947366716821,0.3420604313985917
59.0,0.19857859581037052,0.3431598218970714
60.0,0.19826130240180936,0.34428530273814234
61.0,0.19787106118220874,0.34541702411566705
62.0,0.19697825851443274,0.34662664250084896
63.0,0.19541633763382596,0.34794309830105724
64.0,0.19326578494880048,0.3493553281647887
65.0,0.19090088568221777,0.3507948657524085
66.0,0.18833523184930082,0.3522646588773047
67.0,0.1856944901502562,0.3537436504328669
68.0,0.1823018438171243,0.35535160917143216
69.0,0.17902157722026388,0.3569385284006994
70.0,0.17583645944964005,0.35850750514375196
71.0,0.17433875596971168,0.35978319892006216
72.0,0.17282643301966263,0.3610620326969219
73.0,0.17183139919421217,0.3622481306704468
74.0,0.1712745290384288,0.3633573244159112
75.0,0.17100886657189338,0.3644204304211945
76.0,0.17155504072621522,0.36534953287098765
77.0,0.17181169091183046,0.3663298056163852
78.0,0.1717475206313266,0.36736857090133734
79.0,0.17205953689104467,0.36834900739477233
80.0,0.17203759637770671,0.36940125738628526
81.0,0.17135373589368072,0.370576568712213
82.0,0.17038596526121402,0.3718120905892753
83.0,0.1696531890637046,0.3730195804206644
84.0,0.16777914643443562,0.3744312805803984
85.0,0.16631979884256623,0.37580157824845994
86.0,0.1650077001337763,0.37720392901934174
87.0,0.1638990474023653,0.3786249969503181
88.0,0.16392813072956272,0.37989766263735397
89.0,0.16592132918666147,0.38086578501576873
90.0,0.16818170112634986,0.3818189748119938
91.0,0.16826496645049946,0.38319957281022093
92.0,0.1685499709652857,0.38462943240495706
93.0,0.17168741672630294,0.38567391597445144
94.0,0.1785778934680895,0.38618181662154005
95.0,0.18353861618665934,0.38720768445078335
96.0,0.17884824961686804,0.3902082649368858
97.0,0.17285863610537955,0.39378413492769676
98.0,0.15069868246914123,0.4008966514755601
99.0,0.13128579344491695,0.4087302008778277
100.0,0.11012455979004396,0.4212662545480378
